Jahr;Strom;Kohle;Erdoel;Erdgas;Abfaelle;Fernwaerme;Bioenergie;Abwaerme
1970;72792.00;97911.10;295333.84;48696.00;24.00;4933.00;46353.00;0.00
1971;77483.00;73070.61;318692.26;53867.00;46.00;5644.00;46093.00;0.00
1972;83070.00;68083.51;335000.81;59654.00;52.00;6671.00;44139.00;0.00
1973;89042.00;69355.91;367052.15;66290.00;181.00;7130.00;45502.00;0.00
1974;92106.00;72146.69;331078.01;71927.00;161.00;7282.00;44653.00;0.00
1975;91858.00;62479.97;331819.30;72947.00;142.00;8204.00;44647.00;0.00
1976;99108.00;63557.06;340854.77;80899.00;173.00;9292.00;44871.00;0.00
1977;101934.00;57869.59;344660.79;81839.00;161.00;10990.00;44800.00;0.00
1978;106744.00;58630.27;367669.09;85556.00;98.00;12634.00;46562.00;0.00
1979;110632.00;61365.68;373962.62;89620.00;82.00;13191.00;57720.00;0.00
1980;115034.00;62473.35;360084.53;94694.00;387.00;13847.00;53837.00;0.00
1981;115147.00;67436.54;326361.78;87553.00;1383.00;14194.00;64774.00;0.00
1982;116368.00;67205.14;320145.02;84738.00;1945.00;16748.00;70224.00;0.00
1983;120658.00;70183.15;311650.64;82866.00;2140.00;16953.00;75875.00;0.00
1984;127131.00;78979.80;299062.51;89830.00;1775.00;17697.00;91840.00;0.00
1985;132236.00;77181.35;313898.00;98046.00;1707.00;20258.00;93325.00;0.00
1986;133987.00;69114.46;320256.28;96189.00;1768.00;21171.00;90234.00;0.00
1987;137583.00;66813.82;322662.90;102426.00;2105.00;22413.00;88349.00;0.00
1988;143362.44;54178.40;318605.10;100270.00;3812.00;22253.61;85574.34;1946.65
1989;147557.88;51202.21;318671.93;103547.45;4606.00;23169.41;85606.96;2093.53
1990;152451.72;49650.64;327572.82;114374.67;4034.00;25254.37;86955.17;2290.55
1991;159714.94;52644.90;357561.22;122624.23;5239.00;30028.39;93559.53;2562.91
1992;157575.90;44891.26;348421.34;126908.19;5580.00;28917.71;89931.87;2844.00
1993;159833.88;40818.68;362098.30;129371.40;4174.00;32187.47;90319.53;3175.41
1994;162229.02;37202.00;355063.93;127948.97;4777.00;31393.51;82932.09;3544.43
1995;166121.84;36723.12;364903.11;144210.51;5076.00;35015.24;89283.29;3947.36
1996;172129.79;36342.51;405488.54;154461.70;4511.00;44502.96;94839.79;4354.80
1997;174169.61;35851.67;389758.19;156443.51;4614.00;39588.82;92452.66;4755.04
1998;176976.71;33315.52;413699.50;159799.84;5351.00;41426.41;88458.28;5194.33
1999;180262.22;31920.03;399479.95;165988.17;4535.67;42360.62;102972.46;5428.71
2000;182900.93;32837.55;401577.17;167279.32;6174.63;41689.47;97674.91;5700.38
2001;190636.41;28287.13;425377.47;188997.70;8264.42;44299.38;104361.12;5787.42
2002;191238.71;27095.82;448222.96;182746.79;8687.85;43897.75;95819.07;5930.55
2003;197881.68;26211.45;479549.81;191361.60;9885.40;47186.90;98911.64;6589.84
2004;201055.54;25687.48;483052.28;196209.80;11843.28;50733.34;98331.15;6987.46
2005;206998.22;24939.06;496351.21;195353.70;7800.49;51007.70;115827.12;7208.58
2006;211080.07;26891.48;477326.95;194322.11;9133.27;52041.08;130244.62;8029.53
2007;212848.41;24963.24;462320.66;183979.01;8345.68;51900.94;138803.25;8892.49
2008;213896.37;24308.77;450818.78;189714.83;8442.02;56278.39;140535.70;10109.19
2009;205900.75;20302.95;423713.79;184128.74;8124.30;60095.80;147100.59;11173.15
2010;215763.10;19800.38;434044.97;198478.13;9552.15;66100.48;158764.43;13639.25
2011;215618.22;18646.86;413060.86;190561.02;10269.14;66010.96;152675.48;14360.72
2012;218971.30;18497.56;402570.84;190641.27;9711.07;70812.39;158113.09;15528.47
2013;220143.22;18747.22;413119.60;197986.11;9571.55;72313.84;160321.26;16501.19
2014;216716.64;17996.61;400027.51;183361.33;10027.18;66897.34;152733.65;17502.90
2015;220154.58;18400.63;409785.59;190971.46;9919.56;69515.87;159706.82;18524.97
2016;223697.49;19643.13;421126.93;197964.76;11194.92;72516.54;160437.08;19442.27
2017;227097.81;18559.54;428936.34;200402.85;11077.91;75423.40;159592.79;20740.75
2018;228401.84;17018.20;430864.32;194919.34;11464.09;71515.17;149930.51;21920.52
2019;228644.49;17291.28;437406.00;199720.17;10179.07;71379.47;151568.34;23160.35
2020;220333.89;18092.83;367246.26;194063.96;10501.18;71933.07;146168.52;24518.25

Alle Angaben in Terajoule

Quelle: Statistik Austria
https://oesterreichsenergie.at/downloads/grafiken/detailseite/energieverbrauch-nach-energietraegern
