Jahr;Strom;Erdoel;Abfaelle;
1990; 6.51084;14.9983;3.31168;
1991; 6.38945;14.8828;3.64451;
1992; 5.57607;15.7636;3.59195;
1993; 4.96591;15.739;3.91585;
1994; 4.62084;15.8925;3.89937;
1995; 4.34449;17.0607;4.14244;
1996; 3.96479;16.851;4.85506;
1997; 3.99402;17.4284;4.41035;
1998; 3.60471;17.2902;4.4823;
1999; 3.42142;17.7918;4.54051;
2000; 3.50891;17.8749;4.45479;

Nun folgt noch die Prognose
Jahr;Strom;Erdoel;Abfaelle;
2021;1.9552;19.4965;7.50095;
2022;2.23849;20.7702;8.3012;
2023;2.58355;22.3215;9.27594;
2024;3.01305;24.2525;10.4892;
2025;3.5623;26.7219;12.0408;

Alle Angaben % bezogen auf den jährlich Gesamtverbrauch

Quelle: Statistik Austria
https://statcube.at/statcube/opendatabase?id=deebilanz
